"","voted_for","gender","education"
"596","Trump","Male","Post-grad"
"597","Biden","Female","Post-grad"
"598","Biden","Female","Post-grad"
"599","Biden","Male","4-year"
"600","Biden","Female","Some college"
"601","Trump","Female","4-year"
"602","Trump","Male","4-year"
"603","Trump","Male","4-year"
"604","Trump","Male","Some college"
"605","Biden","Male","Post-grad"
"606","Trump","Female","Some college"
"607","Biden","Female","Post-grad"
"608","Biden","Male","4-year"
"609","Biden","Male","Post-grad"
"610","Trump","Female","2-year"
"611","Trump","Male","Post-grad"
"612","Biden","Female","4-year"
"613","Biden","Female","4-year"
"614","Trump","Male","4-year"
"615","Biden","Male","4-year"
"616","Biden","Female","Post-grad"
"617","Biden","Female","Post-grad"
"618","Trump","Male","Some college"
"619","Trump","Female","Post-grad"
"620","Trump","Male","4-year"
"621","Biden","Male","4-year"
"622","Trump","Male","4-year"
"623","Biden","Female","4-year"
"624","Trump","Male","Post-grad"
"625","Trump","Male","Some college"
"626","Biden","Male","4-year"
"627","Biden","Male","2-year"
"628","Biden","Male","4-year"
"629","Biden","Female","4-year"
"630","Biden","Male","Post-grad"
"631","Biden","Male","4-year"
"632","Trump","Female","Some college"
"633","Biden","Female","2-year"
"634","Biden","Female","Post-grad"
"635","Trump","Female","Some college"
"636","Trump","Male","4-year"
"637","Biden","Female","Some college"
"638","Biden","Female","Some college"
"639","Biden","Female","Post-grad"
"640","Biden","Male","Post-grad"
"641","Trump","Female","High school graduate"
"642","Biden","Male","Some college"
"643","Biden","Female","4-year"
"644","Trump","Female","Some college"
"645","Biden","Female","Some college"
"646","Trump","Female","Some college"
"647","Biden","Male","4-year"
"648","Trump","Male","2-year"
"649","Biden","Female","Some college"
"650","Biden","Female","Post-grad"
"651","Biden","Male","Some college"
"652","Biden","Female","Post-grad"
"653","Trump","Male","4-year"
"654","Trump","Male","2-year"
"655","Biden","Male","4-year"
"656","Biden","Male","2-year"
"657","Biden","Female","Post-grad"
"658","Biden","Female","Some college"
"659","Biden","Female","4-year"
"660","Biden","Male","Some college"
"661","Biden","Male","Some college"
"662","Biden","Female","Post-grad"
"663","Biden","Male","Post-grad"
"664","Biden","Female","4-year"
"665","Trump","Female","2-year"
"666","Trump","Female","4-year"
"667","Biden","Male","4-year"
"668","Trump","Female","4-year"
"669","Biden","Female","Post-grad"
"670","Biden","Male","Post-grad"
"671","Trump","Male","4-year"
"672","Biden","Female","Some college"
"673","Trump","Male","Post-grad"
"674","Biden","Male","Post-grad"
"675","Biden","Male","4-year"
"676","Trump","Female","4-year"
"677","Trump","Male","2-year"
"678","Biden","Female","Post-grad"
"679","Biden","Female","4-year"
"680","Trump","Female","2-year"
"681","Trump","Male","Some college"
"682","Biden","Male","Post-grad"
"683","Trump","Female","4-year"
"684","Biden","Female","4-year"
"685","Biden","Male","4-year"
"686","Trump","Male","4-year"
"687","Biden","Male","Post-grad"
"688","Biden","Female","4-year"
"689","Biden","Female","4-year"
"690","Biden","Male","Post-grad"
"691","Biden","Male","Post-grad"
"692","Biden","Male","4-year"
"693","Biden","Female","4-year"
"694","Trump","Male","Some college"
"695","Biden","Female","4-year"
"696","Biden","Male","4-year"
"697","Biden","Female","4-year"
"698","Biden","Male","Some college"
"699","Biden","Male","Post-grad"
"700","Biden","Female","4-year"
"701","Trump","Male","Post-grad"
"702","Biden","Male","Post-grad"
"703","Biden","Male","4-year"
"704","Biden","Male","Post-grad"
"705","Trump","Male","Post-grad"
"706","Biden","Male","4-year"
"707","Biden","Male","Post-grad"
"708","Biden","Male","High school graduate"
"709","Biden","Male","Post-grad"
"710","Trump","Male","Post-grad"
"711","Biden","Female","2-year"
"712","Biden","Male","4-year"
"713","Trump","Female","Post-grad"
"714","Biden","Male","Post-grad"
"715","Trump","Female","Some college"
"716","Biden","Female","Some college"
"717","Trump","Female","4-year"
"718","Biden","Female","Some college"
