"","voted_for","gender","education"
"887","Biden","Female","Some college"
"888","Biden","Female","4-year"
"889","Trump","Female","2-year"
"890","Biden","Female","Post-grad"
"891","Biden","Female","4-year"
"892","Trump","Female","High school graduate"
"893","Biden","Female","Post-grad"
"894","Biden","Female","2-year"
"895","Trump","Female","4-year"
"896","Biden","Female","Post-grad"
"897","Trump","Male","2-year"
"898","Trump","Female","High school graduate"
"899","Trump","Female","High school graduate"
"900","Trump","Female","High school graduate"
"901","Biden","Female","4-year"
"902","Trump","Female","2-year"
"903","Biden","Female","4-year"
"904","Biden","Female","Post-grad"
"905","Biden","Male","Some college"
"906","Biden","Male","4-year"
"907","Trump","Female","Post-grad"
"908","Biden","Female","4-year"
"909","Biden","Female","High school graduate"
"910","Trump","Female","High school graduate"
"911","Trump","Male","4-year"
"912","Trump","Female","High school graduate"
"913","Trump","Female","Some college"
"914","Trump","Female","4-year"
"915","Biden","Female","2-year"
"916","Biden","Male","4-year"
"917","Trump","Male","4-year"
"918","Trump","Male","Some college"
"919","Biden","Female","Some college"
"920","Biden","Female","Some college"
"921","Trump","Male","Post-grad"
"922","Trump","Male","4-year"
"923","Trump","Male","Some college"
"924","Biden","Female","Some college"
"925","Biden","Male","4-year"
"926","Trump","Male","Some college"
"927","Biden","Female","2-year"
"928","Biden","Female","Some college"
"929","Biden","Female","Some college"
"930","Biden","Male","Some college"
"931","Biden","Male","Some college"
"932","Biden","Male","Some college"
"933","Biden","Male","4-year"
"934","Trump","Male","Some college"
"935","Biden","Male","Post-grad"
"936","Trump","Female","4-year"
"937","Biden","Male","Some college"
"938","Biden","Female","Post-grad"
"939","Trump","Female","2-year"
"940","Trump","Male","4-year"
"941","Biden","Female","Some college"
"942","Biden","Male","Post-grad"
"943","Biden","Female","Some college"
"944","Trump","Female","High school graduate"
"945","Biden","Female","Post-grad"
"946","Biden","Female","Some college"
"947","Trump","Male","Some college"
"948","Trump","Female","High school graduate"
"949","Trump","Female","2-year"
"950","Trump","Male","Post-grad"
"951","Trump","Male","Post-grad"
"952","Trump","Male","Some college"
"953","Trump","Male","Post-grad"
"954","Trump","Female","Some college"
"955","Biden","Male","4-year"
"956","Biden","Male","Some college"
"957","Biden","Male","Post-grad"
"958","Trump","Female","Some college"
"959","Trump","Female","High school graduate"
"960","Biden","Male","2-year"
"961","Biden","Male","Post-grad"
"962","Biden","Male","Post-grad"
"963","Trump","Male","Some college"
"964","Biden","Female","2-year"
"965","Trump","Male","Some college"
"966","Trump","Female","Post-grad"
"967","Biden","Female","2-year"
"968","Trump","Male","2-year"
"969","Trump","Male","Some college"
"970","Biden","Male","4-year"
"971","Trump","Female","High school graduate"
"972","Biden","Female","2-year"
"973","Biden","Male","Some college"
"974","Biden","Female","Some college"
"975","Biden","Male","4-year"
"976","Trump","Female","2-year"
"977","Biden","Female","Some college"
"978","Trump","Female","2-year"
"979","Biden","Male","4-year"
"980","Biden","Male","Some college"
"981","Biden","Female","Some college"
"982","Biden","Male","Post-grad"
"983","Biden","Male","4-year"
"984","Trump","Male","2-year"
"985","Trump","Male","2-year"
"986","Biden","Male","Post-grad"
"987","Biden","Male","Some college"
"988","Biden","Male","Post-grad"
"989","Trump","Female","4-year"
"990","Biden","Male","4-year"
"991","Biden","Male","Post-grad"
"992","Biden","Male","High school graduate"
"993","Trump","Male","4-year"
"994","Biden","Female","Some college"
"995","Biden","Male","4-year"
"996","Biden","Female","Post-grad"
"997","Trump","Male","4-year"
"998","Biden","Female","4-year"
"999","Trump","Female","Some college"
"1000","Biden","Female","Post-grad"
"1001","Biden","Female","4-year"
"1002","Biden","Female","4-year"
"1003","Trump","Male","4-year"
"1004","Biden","Male","4-year"
"1005","Biden","Male","Post-grad"
"1006","Trump","Female","Some college"
"1007","Biden","Male","Some college"
"1008","Trump","Female","High school graduate"
"1009","Biden","Male","4-year"
"1010","Trump","Female","High school graduate"
"1011","Trump","Male","Some college"
"1012","Trump","Male","Post-grad"
"1013","Biden","Male","Some college"
"1014","Biden","Male","Some college"
"1015","Biden","Male","Post-grad"
"1016","Trump","Male","4-year"
"1017","Biden","Male","Post-grad"
"1018","Biden","Male","4-year"
"1019","Trump","Male","4-year"
"1020","Biden","Female","Post-grad"
"1021","Biden","Male","Post-grad"
"1022","Biden","Female","Post-grad"
"1023","Biden","Female","4-year"
"1024","Trump","Male","2-year"
"1025","Biden","Female","2-year"
"1026","Biden","Female","Some college"
"1027","Biden","Female","2-year"
"1028","Biden","Female","Post-grad"
"1029","Biden","Male","4-year"
"1030","Trump","Male","Post-grad"
"1031","Trump","Male","Post-grad"
"1032","Trump","Male","4-year"
"1033","Biden","Male","Some college"
"1034","Biden","Male","4-year"
"1035","Biden","Female","Post-grad"
"1036","Biden","Female","Some college"
"1037","Biden","Male","Post-grad"
"1038","Biden","Female","Post-grad"
"1039","Trump","Male","4-year"
"1040","Trump","Male","Some college"
"1041","Biden","Male","Post-grad"
"1042","Trump","Male","Post-grad"
"1043","Trump","Male","4-year"
"1044","Biden","Female","4-year"
"1045","Biden","Female","4-year"
"1046","Trump","Male","Some college"
"1047","Biden","Male","4-year"
"1048","Biden","Female","2-year"
"1049","Biden","Male","Some college"
"1050","Biden","Male","Post-grad"
"1051","Biden","Female","Post-grad"
"1052","Biden","Male","Some college"
"1053","Biden","Female","High school graduate"
"1054","Biden","Female","Post-grad"
"1055","Trump","Female","Some college"
"1056","Trump","Male","Some college"
"1057","Biden","Female","2-year"
"1058","Trump","Male","Post-grad"
"1059","Biden","Male","2-year"
"1060","Biden","Female","2-year"
"1061","Biden","Female","4-year"
"1062","Trump","Male","Some college"
"1063","Trump","Male","Some college"
"1064","Trump","Male","High school graduate"
"1065","Biden","Male","4-year"
"1066","Biden","Male","4-year"
"1067","Biden","Female","Some college"
"1068","Trump","Male","Some college"
"1069","Trump","Female","4-year"
"1070","Trump","Male","4-year"
"1071","Biden","Female","Post-grad"
"1072","Biden","Male","4-year"
"1073","Biden","Female","No HS"
"1074","Trump","Male","Some college"
"1075","Biden","Male","2-year"
"1076","Trump","Female","Some college"
"1077","Biden","Male","Post-grad"
"1078","Biden","Male","Post-grad"
"1079","Biden","Female","4-year"
"1080","Biden","Male","4-year"
"1081","Biden","Female","Some college"
"1082","Trump","Female","4-year"
"1083","Biden","Female","2-year"
"1084","Trump","Female","High school graduate"
"1085","Trump","Female","2-year"
"1086","Biden","Female","High school graduate"
"1087","Biden","Female","Some college"
"1088","Biden","Male","Post-grad"
"1089","Trump","Female","Some college"
"1090","Biden","Male","Some college"
"1091","Trump","Male","High school graduate"
"1092","Biden","Female","Post-grad"
"1093","Biden","Male","Post-grad"
"1094","Trump","Female","4-year"
"1095","Trump","Male","4-year"
"1096","Biden","Female","4-year"
"1097","Biden","Male","4-year"
"1098","Biden","Female","Post-grad"
"1099","Biden","Female","Some college"
"1100","Trump","Male","4-year"
"1101","Biden","Male","4-year"
"1102","Biden","Female","2-year"
"1103","Biden","Male","4-year"
"1104","Trump","Male","4-year"
"1105","Trump","Male","High school graduate"
"1106","Trump","Female","Post-grad"
"1107","Trump","Female","Some college"
"1108","Biden","Male","Post-grad"
"1109","Trump","Male","2-year"
"1110","Biden","Male","4-year"
"1111","Trump","Female","High school graduate"
"1112","Biden","Male","Some college"
"1113","Biden","Male","4-year"
"1114","Trump","Male","2-year"
"1115","Biden","Male","4-year"
"1116","Biden","Female","4-year"
"1117","Trump","Male","4-year"
"1118","Biden","Female","4-year"
"1119","Trump","Female","Some college"
"1120","Trump","Male","4-year"
"1121","Trump","Male","2-year"
"1122","Biden","Male","4-year"
"1123","Trump","Male","Some college"
"1124","Biden","Male","2-year"
"1125","Biden","Female","Some college"
"1126","Trump","Male","Some college"
"1127","Trump","Male","4-year"
"1128","Trump","Male","2-year"
"1129","Trump","Female","Post-grad"
"1130","Biden","Male","4-year"
"1131","Trump","Female","High school graduate"
"1132","Biden","Male","4-year"
"1133","Trump","Female","4-year"
"1134","Biden","Female","Post-grad"
"1135","Biden","Male","High school graduate"
"1136","Biden","Female","High school graduate"
"1137","Trump","Male","High school graduate"
"1138","Trump","Male","4-year"
"1139","Biden","Female","4-year"
"1140","Biden","Male","Post-grad"
"1141","Trump","Female","Some college"
"1142","Biden","Male","4-year"
"1143","Biden","Male","Post-grad"
"1144","Trump","Male","Some college"
"1145","Biden","Male","Post-grad"
"1146","Biden","Female","Some college"
"1147","Biden","Male","4-year"
"1148","Biden","Male","Some college"
"1149","Trump","Male","4-year"
"1150","Trump","Male","4-year"
"1151","Biden","Male","4-year"
"1152","Trump","Female","Some college"
"1153","Trump","Female","2-year"
"1154","Trump","Male","4-year"
"1155","Trump","Female","2-year"
"1156","Trump","Male","Some college"
"1157","Biden","Female","2-year"
"1158","Biden","Male","Some college"
"1159","Biden","Female","4-year"
"1160","Biden","Male","Post-grad"
"1161","Biden","Male","4-year"
"1162","Biden","Male","2-year"
"1163","Trump","Male","4-year"
"1164","Trump","Male","4-year"
"1165","Biden","Male","Some college"
"1166","Biden","Male","Post-grad"
"1167","Biden","Female","Post-grad"
"1168","Trump","Male","4-year"
"1169","Biden","Female","Post-grad"
"1170","Biden","Male","Post-grad"
"1171","Biden","Male","Post-grad"
"1172","Trump","Female","4-year"
"1173","Biden","Male","4-year"
"1174","Biden","Female","High school graduate"
"1175","Biden","Female","Post-grad"
"1176","Trump","Male","2-year"
"1177","Biden","Female","Some college"
"1178","Biden","Male","4-year"
"1179","Biden","Female","4-year"
"1180","Biden","Male","Post-grad"
"1181","Biden","Female","Post-grad"
"1182","Biden","Female","Some college"
"1183","Trump","Male","Post-grad"
"1184","Trump","Male","2-year"
"1185","Biden","Male","Post-grad"
"1186","Biden","Male","Some college"
"1187","Biden","Male","Post-grad"
"1188","Biden","Female","Post-grad"
"1189","Biden","Male","High school graduate"
"1190","Biden","Male","4-year"
"1191","Trump","Female","Some college"
"1192","Biden","Female","Some college"
"1193","Trump","Female","High school graduate"
"1194","Biden","Female","Post-grad"
"1195","Trump","Male","High school graduate"
"1196","Trump","Male","Some college"
"1197","Biden","Male","4-year"
"1198","Biden","Female","Post-grad"
"1199","Trump","Female","Some college"
"1200","Trump","Female","High school graduate"
"1201","Biden","Male","4-year"
"1202","Biden","Male","4-year"
"1203","Trump","Female","4-year"
"1204","Biden","Male","4-year"
"1205","Biden","Female","Post-grad"
"1206","Biden","Male","Post-grad"
"1207","Trump","Male","4-year"
"1208","Biden","Male","Post-grad"
"1209","Biden","Female","Some college"
"1210","Trump","Male","4-year"
"1211","Trump","Male","Post-grad"
"1212","Trump","Male","Some college"
"1213","Trump","Male","Post-grad"
"1214","Trump","Male","2-year"
"1215","Biden","Male","4-year"
"1216","Trump","Male","Post-grad"
"1217","Trump","Male","Post-grad"
"1218","Biden","Male","Some college"
"1219","Trump","Female","4-year"
"1220","Trump","Female","Post-grad"
"1221","Biden","Female","4-year"
"1222","Biden","Male","Some college"
"1223","Biden","Male","2-year"
"1224","Trump","Male","Some college"
"1225","Trump","Female","Post-grad"
"1226","Biden","Male","High school graduate"
"1227","Biden","Male","4-year"
"1228","Trump","Male","4-year"
"1229","Biden","Male","4-year"
"1230","Biden","Female","4-year"
"1231","Biden","Male","Post-grad"
"1232","Biden","Female","Post-grad"
"1233","Trump","Female","Post-grad"
"1234","Biden","Female","Post-grad"
"1235","Trump","Female","High school graduate"
"1236","Biden","Male","Post-grad"
"1237","Trump","Male","2-year"
"1238","Biden","Female","Post-grad"
"1239","Biden","Male","Post-grad"
"1240","Biden","Female","Post-grad"
"1241","Trump","Male","4-year"
"1242","Trump","Female","Some college"
"1243","Trump","Female","Post-grad"
"1244","Trump","Female","Some college"
"1245","Biden","Female","Post-grad"
"1246","Trump","Female","High school graduate"
"1247","Trump","Female","4-year"
"1248","Trump","Male","4-year"
"1249","Biden","Male","Post-grad"
"1250","Trump","Male","Some college"
"1251","Trump","Male","4-year"
"1252","Trump","Male","4-year"
"1253","Biden","Male","Post-grad"
"1254","Biden","Female","Post-grad"
"1255","Biden","Female","2-year"
"1256","Trump","Female","Some college"
"1257","Trump","Male","4-year"
"1258","Biden","Female","Post-grad"
"1259","Trump","Male","2-year"
"1260","Trump","Male","4-year"
"1261","Biden","Female","Post-grad"
"1262","Trump","Female","Post-grad"
"1263","Biden","Female","Post-grad"
"1264","Trump","Female","High school graduate"
"1265","Biden","Male","Post-grad"
"1266","Biden","Female","Post-grad"
"1267","Trump","Male","Some college"
"1268","Trump","Male","High school graduate"
"1269","Trump","Male","4-year"
"1270","Biden","Male","2-year"
"1271","Biden","Female","Some college"
"1272","Trump","Male","4-year"
"1273","Biden","Male","Post-grad"
"1274","Biden","Male","Post-grad"
"1275","Trump","Female","4-year"
"1276","Biden","Female","Some college"
"1277","Biden","Male","Post-grad"
"1278","Biden","Male","Post-grad"
"1279","Trump","Male","2-year"
"1280","Trump","Female","High school graduate"
"1281","Biden","Female","4-year"
"1282","Trump","Female","Some college"
"1283","Biden","Female","4-year"
"1284","Biden","Female","Post-grad"
"1285","Trump","Male","Post-grad"
"1286","Trump","Female","Post-grad"
"1287","Biden","Male","Post-grad"
"1288","Biden","Female","Post-grad"
"1289","Trump","Male","Post-grad"
"1290","Biden","Female","Post-grad"
"1291","Biden","Female","2-year"
"1292","Biden","Male","Post-grad"
"1293","Trump","Female","Some college"
"1294","Biden","Female","2-year"
"1295","Biden","Male","4-year"
"1296","Biden","Male","4-year"
"1297","Biden","Female","2-year"
"1298","Trump","Male","Some college"
"1299","Trump","Male","Some college"
"1300","Biden","Female","Post-grad"
"1301","Trump","Female","High school graduate"
"1302","Biden","Female","4-year"
"1303","Trump","Female","2-year"
"1304","Biden","Male","Some college"
"1305","Trump","Female","Some college"
"1306","Trump","Male","4-year"
"1307","Trump","Female","4-year"
"1308","Biden","Female","Some college"
"1309","Trump","Male","Some college"
"1310","Trump","Female","2-year"
"1311","Trump","Male","Some college"
"1312","Biden","Female","2-year"
"1313","Trump","Male","Some college"
"1314","Biden","Female","Post-grad"
"1315","Biden","Female","Post-grad"
"1316","Trump","Male","Post-grad"
"1317","Trump","Male","Some college"
"1318","Biden","Male","Post-grad"
"1319","Biden","Female","Some college"
